case,pressure_Pa,step,time_s,T_sim_K,P_sim_Pa,mean_speed_sim,collisions_total,nu_meas,mfp_meas,n_theory,nu_theory,mfp_theory,mean_speed_theory,N_real,weight
p000_1.0e-06Pa,1.00E-06,480,0.00962,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,490,0.00982,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,500,0.01002,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,510,0.01022,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,520,0.01042,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,530,0.01062,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,540,0.01082,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,550,0.01102,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,560,0.01122,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,570,0.01142,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,580,0.01162,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,590,0.01182,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,600,0.01202,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,610,0.01222,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,620,0.01242,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,630,0.01262,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,640,0.01282,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,650,0.01302,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,660,0.01322,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,670,0.01342,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,680,0.01362,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,690,0.01382,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,700,0.01402,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,710,0.01422,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,720,0.01442,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,730,0.01462,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,740,0.01482,294.2956369,2.02E-06,471.2958638,1,4072.745454,0.11571945,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,750,0.01502,294.2956369,2.02E-06,471.2958638,1,4018.51449,0.117281116,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,760,0.01522,294.2956369,2.02E-06,471.2958638,1,3965.70878,0.118842782,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,770,0.01542,294.2956369,2.02E-06,471.2958638,1,3914.272869,0.120404448,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,780,0.01562,294.2956369,2.02E-06,471.2958638,1,3864.154138,0.121966114,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,790,0.01582,294.2956369,2.02E-06,471.2958638,1,3815.302632,0.12352778,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,800,0.01602,294.2956369,2.02E-06,471.2958638,1,3767.670888,0.125089446,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,810,0.01622,294.2956369,2.02E-06,471.2958638,1,3721.213788,0.126651112,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,820,0.01642,294.2956369,2.02E-06,471.2958638,1,3675.888406,0.128212778,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,830,0.01662,294.2956369,2.02E-06,471.2958638,1,3631.653889,0.129774444,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,840,0.01682,294.2956369,2.02E-06,471.2958638,1,3588.471322,0.13133611,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,850,0.01702,294.2956369,2.02E-06,471.2958638,1,3546.303621,0.132897776,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,860,0.01722,294.2956369,2.02E-06,471.2958638,1,3505.115426,0.134459442,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,870,0.01742,294.2956369,2.02E-06,471.2958638,1,3464.872998,0.136021108,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,880,0.01762,294.2956369,2.02E-06,471.2958638,1,3425.544134,0.137582774,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,890,0.01782,294.2956369,2.02E-06,471.2958638,1,3387.098071,0.13914444,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
